,MONTH,DAY_OF_MONTH,cancels
244,9,1,30
245,9,2,206
246,9,3,97
247,9,4,93
248,9,5,104
249,9,6,62
250,9,7,26
251,9,8,58
252,9,9,96
253,9,10,80
254,9,11,201
255,9,12,794
256,9,13,222
257,9,14,63
258,9,15,92
259,9,16,105
260,9,17,95
261,9,18,113
262,9,19,628
263,9,20,360
264,9,21,61
265,9,22,78
266,9,23,73
267,9,24,80
268,9,25,125
269,9,26,60
270,9,27,89
271,9,28,113
272,9,29,88
273,9,30,120
274,10,1,83
275,10,2,75
276,10,3,227
277,10,4,151
278,10,5,102
279,10,6,158
280,10,7,261
281,10,8,101
282,10,9,101
283,10,10,115
284,10,11,182
285,10,12,28
286,10,13,46
287,10,14,84
288,10,15,106
289,10,16,72
290,10,17,73
291,10,18,61
292,10,19,48
293,10,20,61
294,10,21,107
295,10,22,106
296,10,23,92
297,10,24,136
298,10,25,70
299,10,26,53
300,10,27,115
301,10,28,102
302,10,29,114
303,10,30,117
304,10,31,116
305,11,1,456
306,11,2,100
307,11,3,61
308,11,4,99
309,11,5,79
310,11,6,86
311,11,7,114
312,11,8,126
313,11,9,40
314,11,10,62
315,11,11,142
316,11,12,114
317,11,13,90
318,11,14,122
319,11,15,53
320,11,16,58
321,11,17,613
322,11,18,155
323,11,19,108
324,11,20,97
325,11,21,222
326,11,22,352
327,11,23,152
328,11,24,747
329,11,25,406
330,11,26,128
331,11,27,160
332,11,28,27
333,11,29,16
334,11,30,97
335,12,1,109
336,12,2,142
337,12,3,196
338,12,4,317
339,12,5,957
340,12,6,1965
341,12,7,1108
342,12,8,2102
343,12,9,1408
344,12,10,1050
345,12,11,195
346,12,12,115
347,12,13,137
348,12,14,689
349,12,15,314
350,12,16,260
351,12,17,465
352,12,18,83
353,12,19,386
354,12,20,253
355,12,21,467
356,12,22,425
357,12,23,255
358,12,24,119
359,12,25,106
360,12,26,173
361,12,27,111
362,12,28,114
363,12,29,326
364,12,30,208
365,12,31,192
1,1,1,656
2,1,2,1947
3,1,3,2425
4,1,4,1227
5,1,5,2480
6,1,6,3143
7,1,7,2156
8,1,8,630
9,1,9,453
10,1,10,439
11,1,11,304
12,1,12,198
13,1,13,148
14,1,14,332
15,1,15,177
16,1,16,226
17,1,17,155
18,1,18,187
19,1,19,91
20,1,20,175
21,1,21,1961
22,1,22,1040
23,1,23,347
24,1,24,1063
25,1,25,186
26,1,26,424
27,1,27,769
28,1,28,2922
29,1,29,2414
30,1,30,1552
31,1,31,625
32,2,1,448
33,2,2,869
34,2,3,1212
35,2,4,1242
36,2,5,1951
37,2,6,852
38,2,7,336
39,2,8,281
40,2,9,415
41,2,10,519
42,2,11,1294
43,2,12,2940
44,2,13,4521
45,2,14,1101
46,2,15,599
47,2,16,327
48,2,17,1078
49,2,18,484
50,2,19,159
51,2,20,728
52,2,21,804
53,2,22,185
54,2,23,149
55,2,24,153
56,2,25,123
57,2,26,416
58,2,27,184
59,2,28,349
60,3,1,406
61,3,2,1579
62,3,3,1938
63,3,4,644
64,3,5,399
65,3,6,179
66,3,7,217
67,3,8,122
68,3,9,125
69,3,10,89
70,3,11,155
71,3,12,943
72,3,13,286
73,3,14,103
74,3,15,101
75,3,16,199
76,3,17,449
77,3,18,118
78,3,19,119
79,3,20,65
80,3,21,60
81,3,22,45
82,3,23,62
83,3,24,69
84,3,25,155
85,3,26,210
86,3,27,214
87,3,28,143
88,3,29,151
89,3,30,183
90,3,31,320
91,4,1,244
92,4,2,119
93,4,3,390
94,4,4,271
95,4,5,48
96,4,6,211
97,4,7,277
98,4,8,105
99,4,9,96
100,4,10,99
101,4,11,84
102,4,12,51
103,4,13,125
104,4,14,350
105,4,15,453
106,4,16,190
107,4,17,116
108,4,18,69
109,4,19,36
110,4,20,103
111,4,21,97
112,4,22,61
113,4,23,106
114,4,24,96
115,4,25,126
116,4,26,80
117,4,27,217
118,4,28,279
119,4,29,523
120,4,30,540
121,5,1,161
122,5,2,83
123,5,3,61
124,5,4,100
125,5,5,139
126,5,6,131
127,5,7,118
128,5,8,896
129,5,9,380
130,5,10,216
131,5,11,348
132,5,12,1131
133,5,13,1485
134,5,14,474
135,5,15,418
136,5,16,425
137,5,17,115
138,5,18,101
139,5,19,94
140,5,20,192
141,5,21,260
142,5,22,412
143,5,23,225
144,5,24,68
145,5,25,91
146,5,26,134
147,5,27,573
148,5,28,340
149,5,29,115
150,5,30,171
151,5,31,56
152,6,1,190
153,6,2,223
154,6,3,246
155,6,4,147
156,6,5,163
157,6,6,114
158,6,7,111
159,6,8,213
160,6,9,629
161,6,10,346
162,6,11,472
163,6,12,658
164,6,13,694
165,6,14,215
166,6,15,269
167,6,16,180
168,6,17,142
169,6,18,649
170,6,19,793
171,6,20,272
172,6,21,224
173,6,22,203
174,6,23,486
175,6,24,443
176,6,25,783
177,6,26,371
178,6,27,163
179,6,28,104
180,6,29,112
181,6,30,518
182,7,1,296
183,7,2,525
184,7,3,1044
185,7,4,240
186,7,5,78
187,7,6,90
188,7,7,186
189,7,8,389
190,7,9,158
191,7,10,112
192,7,11,145
193,7,12,215
194,7,13,184
195,7,14,666
196,7,15,820
197,7,16,234
198,7,17,659
199,7,18,177
200,7,19,89
201,7,20,87
202,7,21,163
203,7,22,183
204,7,23,396
205,7,24,194
206,7,25,161
207,7,26,110
208,7,27,233
209,7,28,147
210,7,29,157
211,7,30,130
212,7,31,122
213,8,1,282
214,8,2,132
215,8,3,148
216,8,4,235
217,8,5,159
218,8,6,103
219,8,7,164
220,8,8,418
221,8,9,301
222,8,10,198
223,8,11,161
224,8,12,359
225,8,13,189
226,8,14,94
227,8,15,107
228,8,16,97
229,8,17,530
230,8,18,183
231,8,19,287
232,8,20,182
233,8,21,265
234,8,22,145
235,8,23,51
236,8,24,73
237,8,25,492
238,8,26,309
239,8,27,71
240,8,28,61
241,8,29,66
242,8,30,46
243,8,31,41
